name,ttl,type,value
"www.matrixblend.com","3600","NETLIFY","affectionate-williams-f6b9fa.netlify.app"
"matrixblend.com","3600","NETLIFY","affectionate-williams-f6b9fa.netlify.app"
"www.matrixblend.com","3600","NETLIFYv6","affectionate-williams-f6b9fa.netlify.app"
"matrixblend.com","3600","NETLIFYv6","affectionate-williams-f6b9fa.netlify.app"
